,Name,Title,Typename,XYZ URL,Max Z
133,ostwentyfiveinchparishstonehouse,stonehouse,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/stonehouse/{z}/{x}/{y}.png,
134,ostwentyfiveinchparishsymington,symington,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/symington/{z}/{x}/{y}.png,
135,ostwentyfiveinchparishwalston,walston,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/walston/{z}/{x}/{y}.png,
136,ostwentyfiveinchparishwiston_roberton,wiston_roberton,,https://mapseries-tilesets.s3.amazonaws.com/25_inch/parishes/wiston_roberton/{z}/{x}/{y}.png,
137,ostwentyfiveinchparishairth,airth,,"https://geo.nls.uk/mapdata2/os/25_inch/airth"" + ""/{z}/{x}/{y}.png",
138,ostwentyfiveinchparishbaldernock,baldernock,,"https://geo.nls.uk/mapdata2/os/25_inch/baldernock"" + ""/{z}/{x}/{y}.png",
139,ostwentyfiveinchparishbalfron,balfron,,"https://geo.nls.uk/mapdata2/os/25_inch/balfron"" + ""/{z}/{x}/{y}.png",
140,ostwentyfiveinchparishbothkennar,bothkennar,,"https://geo.nls.uk/mapdata2/os/25_inch/bothkennar"" + ""/{z}/{x}/{y}.png",
141,ostwentyfiveinchparishbuchanan,buchanan,,"https://geo.nls.uk/mapdata2/os/25_inch/buchanan"" + ""/{z}/{x}/{y}.png",
142,ostwentyfiveinchparishcampsie,campsie,,"https://geo.nls.uk/mapdata2/os/25_inch/campsie"" + ""/{z}/{x}/{y}.png",
143,ostwentyfiveinchparishdenny,denny,,"https://geo.nls.uk/mapdata2/os/25_inch/denny"" + ""/{z}/{x}/{y}.png",
144,ostwentyfiveinchparishdrymen,drymen,,"https://geo.nls.uk/mapdata2/os/25_inch/drymen"" + ""/{z}/{x}/{y}.png",
145,ostwentyfiveinchparishdunipace,dunipace,,"https://geo.nls.uk/mapdata2/os/25_inch/dunipace"" + ""/{z}/{x}/{y}.png",
146,ostwentyfiveinchparishfalkirk,falkirk,,"https://geo.nls.uk/mapdata2/os/25_inch/falkirk"" + ""/{z}/{x}/{y}.png",
147,ostwentyfiveinchparishfintry,fintry,,"https://geo.nls.uk/mapdata2/os/25_inch/fintry"" + ""/{z}/{x}/{y}.png",
148,ostwentyfiveinchparishgargunnock,gargunnock,,"https://geo.nls.uk/mapdata2/os/25_inch/gargunnock"" + ""/{z}/{x}/{y}.png",
149,ostwentyfiveinchparishkillearn,killearn,,"https://geo.nls.uk/mapdata2/os/25_inch/killearn"" + ""/{z}/{x}/{y}.png",
150,ostwentyfiveinchparishkilsyth,kilsyth,,"https://geo.nls.uk/mapdata2/os/25_inch/kilsyth"" + ""/{z}/{x}/{y}.png",
151,ostwentyfiveinchparishkippen,kippen,,"https://geo.nls.uk/mapdata2/os/25_inch/kippen"" + ""/{z}/{x}/{y}.png",
152,ostwentyfiveinchparishlarbert,larbert,,"https://geo.nls.uk/mapdata2/os/25_inch/larbert"" + ""/{z}/{x}/{y}.png",
153,ostwentyfiveinchparishlecropt,lecropt,,"https://geo.nls.uk/mapdata2/os/25_inch/lecropt"" + ""/{z}/{x}/{y}.png",
154,ostwentyfiveinchparishlogie,logie,,"https://geo.nls.uk/mapdata2/os/25_inch/logie"" + ""/{z}/{x}/{y}.png",
155,ostwentyfiveinchparishmuiravonside,muiravonside,,"https://geo.nls.uk/mapdata2/os/25_inch/muiravonside"" + ""/{z}/{x}/{y}.png",
156,ostwentyfiveinchparishpolmont,polmont,,"https://geo.nls.uk/mapdata2/os/25_inch/polmont"" + ""/{z}/{x}/{y}.png",
157,ostwentyfiveinchparishslamannan,slamannan,,"https://geo.nls.uk/mapdata2/os/25_inch/slamannan"" + ""/{z}/{x}/{y}.png",
158,ostwentyfiveinchparishst_ninians,stirling,,"https://geo.nls.uk/mapdata2/os/25_inch/st_ninians"" + ""/{z}/{x}/{y}.png",
159,ostwentyfiveinchparishstirling,stirling,,"https://geo.nls.uk/mapdata2/os/25_inch/stirling"" + ""/{z}/{x}/{y}.png",
160,ostwentyfiveinchparishstrathblane,strathblane,,"https://geo.nls.uk/mapdata2/os/25_inch/strathblane"" + ""/{z}/{x}/{y}.png",
161,ostwentyfiveinchparishabbey,abbey,,"https://geo.nls.uk/mapdata2/os/25_inch/abbey"" + ""/{z}/{x}/{y}.png",
162,ostwentyfiveinchparishcathcart,cathcart,,"https://geo.nls.uk/mapdata2/os/25_inch/cathcart"" + ""/{z}/{x}/{y}.png",
163,ostwentyfiveinchparisheaglesham,eaglesham,,"https://geo.nls.uk/mapdata2/os/25_inch/eaglesham"" + ""/{z}/{x}/{y}.png",
164,ostwentyfiveinchparisheastwood,eastwood,,"https://geo.nls.uk/mapdata2/os/25_inch/eastwood"" + ""/{z}/{x}/{y}.png",
165,ostwentyfiveinchparisherskine,erskine,,"https://geo.nls.uk/mapdata2/os/25_inch/erskine"" + ""/{z}/{x}/{y}.png",
166,ostwentyfiveinchparishgreenock,greenock,,"https://geo.nls.uk/mapdata2/os/25_inch/greenock"" + ""/{z}/{x}/{y}.png",
167,ostwentyfiveinchparishhouston,houston,,"https://geo.nls.uk/mapdata2/os/25_inch/houston"" + ""/{z}/{x}/{y}.png",
